Player,PID,Nationality,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armaan Jaffer,90691,80006,0,0,0,0,0,0,0,0,50009,50009,0,50005,50005,50005,0
Arshdeep Singh,90071,80006,0,0,0,0,0,0,0,0,0,0,0,50009,50009,50009,50009
Aryaman Birla,90692,80006,0,0,0,0,0,0,0,0,0,0,50001,50001,0,0,0
Aryan Juyal,90693,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50005
Asad Pathan,90080,80006,0,0,0,50010,50010,0,0,0,0,0,0,0,0,0,0
Asela Gunaratne,90694,80017,0,0,0,0,0,0,0,0,0,50005,0,0,0,0,0
Asghar Afghan,90695,80001,0,0,0,0,0,0,0,0,50006,0,0,0,0,0,0
Ashish Nehra,90013,80006,50005,50008,50008,50014,50014,50008,50003,50003,50006,50006,0,0,0,0,0
Ashish Reddy,90001,80006,0,0,50002,50002,50002,50006,50006,50006,50006,0,0,0,0,50008,0
Ashley Noffke,90025,80002,50010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashok Dinda,90029,80006,50004,50004,50004,50008,50014,50014,50010,50010,50015,50015,0,0,0,0,0
Ashok Menaria,90052,80006,0,0,0,50001,50001,50001,0,50009,0,0,0,0,0,0,0
Ashok Sharma,90696,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50004
Ashraf Makda,90697,80006,0,50001,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashton Turner,90047,80002,0,0,0,0,0,0,0,0,0,0,0,50001,0,0,0
Ashwell Prince,90698,80016,50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashwin Hebbar,90699,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50008
Atharva Taide,90700,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50009
Atul Sharma,90701,80006,0,50001,0,0,0,0,0,0,0,0,0,0,0,0,0
Avesh Khan,90081,80006,0,0,0,0,0,0,0,0,0,50010,50008,50008,50008,50008,50011
Avijeet Tomar,90018,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50004
Axar Patel,90070,80006,0,0,0,0,0,50005,50009,50009,50009,50009,50009,50008,50008,50008,50008
Ayush Badoni,90002,80006,0,0,0,0,0,0,0,0,0,0,0,0,50010,50010,50011
Azhar Bilakhia,90021,80006,0,50002,50002,0,0,0,0,0,0,0,0,0,0,0,0
Azhar Mehmood,90702,80004,50009,50009,50009,50009,50009,50009,0,50004,0,0,0,0,0,0,0
B Sai Sudharshan,90090,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50007
Baba Aparajith,90703,80006,0,0,0,0,0,50003,50003,50003,50015,50015,0,0,0,0,0
Baba Indrajith,90086,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50004
Babar Hayat,90704,80005,0,0,0,0,0,0,0,0,50004,0,0,0,0,0,0
Balachandra Akhil,90083,80006,50010,50010,50010,50013,0,0,0,0,0,0,0,0,0,0,0
Baltej Singh,90705,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50009
Bandaru Ayyappa,90706,80006,0,0,0,0,0,0,0,0,0,0,0,50008,0,0,50006
Barinder Sran,90099,80006,0,0,0,0,0,0,0,50001,50006,50006,50009,50005,50004,50004,50007
Basil Thampi,90095,80006,0,0,0,0,0,0,0,0,0,50012,50006,50006,50006,50006,50005
Bavanaka Sandeep,90707,80006,0,0,0,0,0,0,0,0,0,0,0,0,50006,0,0
Ben Cooper,90708,80010,0,0,0,0,0,0,0,0,50008,0,0,0,0,0,0
Ben Cutting,90100,80002,0,0,0,0,50009,0,50001,50001,50006,50006,50005,50005,0,50004,0
Ben Dunk,90107,80002,0,0,0,0,0,0,50005,0,0,0,0,0,0,0,0
Ben Dwarshuis,90709,80002,0,0,0,0,0,0,0,0,0,0,50009,0,0,50008,0
Ben Hilfenhaus,90108,80002,0,0,0,50003,50003,50003,50003,50005,0,50008,0,0,0,0,0
Ben Laughlin,90088,80002,0,0,0,0,0,50003,0,0,0,50006,50001,0,0,0,0
Ben Rohrer,90105,80002,0,0,0,0,0,50008,0,0,0,0,0,0,0,0,0
Ben Stokes,90094,80004,0,0,0,0,0,0,0,0,0,50015,50001,50001,50001,50001,0
Benny Howell,90710,80004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50009
Beuran Hendricks,90101,80016,0,0,0,0,0,0,50009,50009,0,0,0,50005,0,0,0
Bhanuka Rajapaksa,90422,80017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50009
Bharat Chipli,90084,80006,50010,50010,0,50002,50002,50008,0,0,0,0,0,0,0,0,0
Bhargav Bhatt,90093,80006,0,0,0,50009,50009,50009,0,0,0,0,0,0,0,0,0
Bhuvneshwar Kumar,90087,80006,0,50010,50010,50014,50014,50014,50006,50006,50006,50006,50006,50006,50006,50006,50006
Bilal Khan,90711,80012,0,0,0,0,0,0,0,0,50008,0,0,0,0,0,0
Billy Stanlake,90091,80002,0,0,0,0,0,0,0,0,0,50010,50006,50006,50006,0,0
Biplab Samantray,90098,80006,0,0,0,0,50002,50006,0,0,0,0,0,0,0,0,0
Bipul Sharma,90102,80006,0,0,50009,50009,50009,50009,0,50006,50006,50006,50006,0,0,0,0
BN Bharath,90712,80006,0,0,0,50010,0,0,0,0,0,0,0,0,0,0,0
Bodapati Sumanth,90092,80006,0,0,50002,0,0,0,0,0,0,0,0,0,0,0,0
Boyd Rankin,90713,80007,0,0,0,0,0,0,0,0,0,50009,0,0,0,0,0
Brad Haddin,90103,80002,0,0,0,50004,50004,50004,0,0,0,0,0,0,0,0,0
Brad Hodge,90104,80002,50004,50004,50004,50013,50001,50001,50001,0,0,0,0,0,0,0,0
Brad Hogg,90189,80002,0,0,0,0,50001,50001,0,50004,50004,0,0,0,0,0,0
Brendan Taylor,90714,80021,0,0,0,0,0,0,50006,0,0,0,0,0,0,0,0
Brendon McCullum,90097,80011,50004,50004,50004,50013,50004,50004,50003,50003,50012,50012,50010,0,0,0,0
Brett Geeves,90085,80002,50008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brett Lee,90089,80002,50009,50009,50009,50004,50004,50004,0,0,0,0,0,0,0,0,0
Burt Cockley,90715,80002,0,50009,0,0,0,0,0,0,0,0,0,0,0,0,0
Callum Ferguson,90122,80002,0,0,0,50014,50014,0,0,0,0,0,0,0,0,0,0
Callum McLeod,90716,80014,0,0,0,0,0,0,0,0,50008,0,0,0,0,0,0
Cameron Delport,90717,80016,0,0,0,0,0,0,0,0,0,0,50004,0,0,0,0
Cameron White,90128,80002,50010,50010,50010,50002,50002,50006,0,0,0,0,0,0,0,0,0
Carlos Brathwaite,90130,80020,0,0,0,0,0,0,0,0,50008,50008,50006,50004,0,0,0
Chaitanya Bishnoi,90718,80006,0,0,0,0,0,0,0,0,0,0,50003,50003,0,50004,0
Chama Milind,90719,80006,0,0,0,0,0,0,50006,50006,50008,50008,0,50009,50009,50003,50010
Chamara Kapugedera,90126,80017,50003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chamara Silva,90314,80017,50002,50002,0,0,0,0,0,0,0,0,0,0,0,0,0
Chamika Karunaratne,90720,80017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50004
Chaminda Vaas,90637,80017,50002,50002,50002,0,0,0,0,0,0,0,0,0,0,0,0
Chandan Madan,90111,80006,0,0,50005,50013,0,0,0,0,0,0,0,0,0,0,0
Chandrasekar Ganapathy,90110,80006,0,0,50003,0,0,0,0,0,0,0,0,0,0,0,0
Charl Langeveldt,90127,80016,0,50004,50004,50010,50010,0,0,0,0,0,0,0,0,0,0
Chentanya Nanda,90113,80006,0,50005,0,0,0,0,0,0,0,0,0,0,0,0,0
Chetan Sakariya,90114,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,50001,50008
Cheteshwar Pujara,90117,80006,50004,50004,50004,50010,50010,50010,50009,0,0,0,0,0,0,50003,0
Chezhian Harinishanth,90721,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,50003,50003
Chirag Jani,90722,80006,0,0,0,0,50004,0,0,0,0,0,0,0,0,0,0
Chirag Pathak,90723,80006,0,0,50004,0,0,0,0,0,0,0,0,0,0,0,0
Chirag Suri,90724,80018,0,0,0,0,0,0,0,0,0,50012,0,0,0,0,0
Chris Barnwell,90725,80020,0,0,0,0,0,50010,0,0,0,0,0,0,0,0,0
Chris Gayle,90118,80020,50004,50004,50004,50010,50010,50010,50010,50010,50010,50010,50009,50009,50009,50009,0
Chris Green,90123,80002,0,0,0,0,0,0,0,0,0,0,0,0,50004,0,0
Chris Jordan,90124,80004,0,0,0,0,0,0,0,0,50010,50006,50006,0,50009,50009,0
Chris Lynn,90116,80002,0,0,0,50002,50002,50006,50004,50004,50004,50004,50004,50004,50005,50005,0
Chris Morris,90119,80016,0,0,0,0,0,50003,0,50001,50008,50008,50008,50008,50010,50001,0
Chris Woakes,90131,80004,0,0,0,0,0,0,0,0,0,50004,50010,0,50008,50008,0
Clint McKay,90125,80002,0,0,0,50005,50005,50006,0,0,0,0,0,0,0,0,0
CM Gautam,90129,80006,0,50010,50010,50010,50010,50008,50005,50008,0,0,0,0,0,0,0
Colin de Grandhomme,90109,80011,0,0,0,0,0,0,0,0,0,50004,50010,50010,0,0,0
Colin Ingram,90115,80016,0,0,0,50008,50008,0,0,0,0,0,0,50008,0,0,0
Colin Munro,90112,80011,0,0,0,0,0,0,0,50005,50004,0,50008,50008,0,0,0
Corey Anderson,90120,80011,0,0,0,0,0,0,50005,50005,50005,50008,50010,0,0,0,0
Dale Steyn,90177,80016,50010,50010,50010,50002,50002,50006,50006,50006,50012,0,0,50010,50010,0,0
Damien Martyn,90169,80002,0,0,50001,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Christian,90175,80002,0,0,0,50002,50002,50010,0,0,0,50015,50008,0,0,50010,0
Daniel Harris,90150,80002,0,0,0,0,50002,0,0,0,0,0,0,0,0,0,0
Daniel Sams,90170,80002,0,0,0,0,0,0,0,0,0,0,0,0,50008,50010,50005
Daniel Vettori,90162,80011,50008,50008,50008,50010,50010,50010,0,0,0,0,0,0,0,0,0
D'Arcy Short,90160,80002,0,0,0,0,0,0,0,0,0,0,50001,0,0,0,0
Darren Bravo,90163,80020,0,0,0,0,50002,0,0,0,0,50004,0,0,0,0,0
Darren Lehmann,90174,80002,50001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darren Sammy,90159,80020,0,0,0,0,0,50006,50006,50010,0,50009,0,0,0,0,0
Darshan Nalkande,90147,80006,0,0,0,0,0,0,0,0,0,0,0,50009,50009,50009,50007
Daryl Mitchell,90155,80011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50001
David Hussey,90152,80002,50004,50004,50004,50009,50009,50009,50003,0,0,0,0,0,0,0,0
David Miller,90141,80016,0,0,0,50009,50009,50009,50009,50009,50009,50009,50009,50009,50001,50001,50007
David Warner,90142,80002,0,50008,50008,50008,50008,50008,50006,50006,50006,50006,50006,50006,50006,50006,50008
David Wiese,90140,80016,0,0,0,0,0,0,0,50010,50010,0,0,0,0,0,0
David Willey,90158,80004,0,0,0,0,0,0,0,0,0,0,50003,50003,0,0,0
Davy Jacobs,90153,80016,0,0,0,50005,50005,0,0,0,0,0,0,0,0,0,0
Dawid Malan,90154,80004,0,0,0,0,0,0,0,0,0,0,0,0,0,50009,0
Dawlat Zadran,90726,80001,0,0,0,0,0,0,0,0,50008,0,0,0,0,0,0
Debabrata Das,90144,80006,50004,0,0,0,50004,50004,50004,0,0,0,0,0,0,0,0
Deepak Chahar,90161,80006,0,0,0,50001,50001,50006,0,0,50015,50015,50003,50003,50003,50003,50003
Deepak Chougule,90727,80006,0,0,0,50013,0,0,0,0,0,0,0,0,0,0,0
Deepak Hooda,90151,80006,0,0,0,0,0,0,50001,50001,50006,50006,50006,50006,50009,50009,50011
Deepak Punia,90728,80006,0,0,0,0,0,0,0,0,50005,50005,0,0,0,0,0
Devdutt Padikkal,90137,80006,0,0,0,0,0,0,0,0,0,0,0,50010,50010,50010,50001
Devraj Patil,90176,80006,50010,50010,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhawal Kulkarni,90173,80006,50005,50005,50005,50005,50005,50005,50001,50001,50012,50012,50001,50001,50005,50005,50006
Dheeraj Jadhav,90729,80006,0,0,0,50014,50014,50014,0,0,0,0,0,0,0,0,0
Dhruv Jurel,90730,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50001
Dhruv Shorey,90171,80006,0,0,0,0,0,0,0,0,0,0,50003,50003,0,0,0
Digvijay Deshmukh,90731,80006,0,0,0,0,0,0,0,0,0,0,0,0,50005,0,0
Dilhara Fernando,90132,80017,50005,50005,50005,50005,0,0,0,0,0,0,0,0,0,0,0
Dillon du Preez,90135,80016,0,50010,50010,0,0,0,0,0,0,0,0,0,0,0,0
Dimitri Mascarenhas,90039,80004,50001,50001,50001,50009,50009,50009,0,0,0,0,0,0,0,0,0
Dinesh Chandimal,90732,80017,0,0,0,0,50001,0,0,0,50006,50006,0,0,0,0,0
Dinesh Karthik,90281,80006,50008,50008,50008,50009,50005,50005,50008,50010,50012,50012,50004,50004,50004,50004,50010
Dinesh Salunkhe,90139,80006,50001,50001,0,50001,0,0,0,50001,0,0,0,0,0,0,0
Dirk Nannes,90166,80002,0,50008,50008,50010,50010,50003,0,0,0,0,0,0,0,0,0
Dishant Yagnik,90148,80006,0,0,0,50001,50001,50001,50001,50001,0,0,0,0,0,0,0
Doddapaneni Kalyankrishna,90136,80006,50002,50002,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominic Drakes,90733,80020,0,0,0,0,0,0,0,0,0,0,0,0,0,50003,50007
Dominic Thornley,90734,80002,50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domnic Muthuswami,90156,80006,0,0,0,0,0,0,0,50008,0,0,0,0,0,0,0
Donald Tiripano,90735,80021,0,0,0,0,0,0,0,0,50005,0,0,0,0,0,0
Doug Bollinger,90146,80002,0,0,50003,50003,50003,0,0,0,0,0,0,0,0,0,0
Doug Bracewell,90143,80011,0,0,0,0,50008,0,0,0,0,0,0,0,0,0,0
Duan Jansen,90736,80016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50010
Dushmantha Chameera,90437,80017,0,0,0,0,0,0,0,0,50008,50004,50001,0,0,50010,50011
Dwaraka Ravi Teja,90145,80006,50002,50002,50002,50002,50002,50006,0,0,0,0,0,0,0,0,0
Dwayne Bravo,90149,80020,50005,50005,50005,50003,50003,50003,50003,50003,50012,50012,50003,50003,50003,50003,50003
Dwayne Smith,90172,80020,50005,50002,50002,0,50005,50005,50003,50003,50012,50012,0,0,0,0,0
Ed Joyce,90737,80007,0,0,0,0,0,0,0,0,50010,0,0,0,0,0,0
Eklak Ahmid,90738,80006,0,0,50004,0,0,0,0,0,0,0,0,0,0,0,0
Eklavya Dwivedi,90180,80006,0,0,0,50014,50014,50014,0,50003,50012,50006,0,0,0,0,0
Eoin Morgan,90179,80004,0,50010,50010,50004,50004,50004,0,50006,50006,50009,0,0,50004,50004,0
Evin Lewis,90178,80020,0,0,0,0,0,0,0,0,0,0,50005,50005,0,50001,50011
Fabian Allen,90183,80020,0,0,0,0,0,0,0,0,0,0,0,0,50006,50009,50005
Faiz Fazal,90186,80006,50001,50001,50001,50001,50001,0,0,0,50006,50006,50006,50006,0,0,0
Farhaan Behardien,90181,80016,0,0,0,0,0,0,0,0,50009,0,0,0,0,0,0
Farveez Maharoof,90348,80017,50008,50008,50008,0,0,0,0,0,0,0,0,0,0,0,0
Fidel Edwards,90185,80020,50009,50002,50002,50014,50014,50001,0,0,0,0,0,0,0,0,0
Finn Allen,90739,80011,0,0,0,0,0,0,0,0,0,0,0,0,0,50010,50010
Francois du Plessis,90182,80016,0,0,0,50003,50003,50003,50003,50003,50015,50015,50003,50003,50003,50003,50010
G Periyasamy,90740,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,50006,0
Gagandeep Singh,90188,80006,50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gajendra Singh,90741,80006,0,50001,0,0,0,0,0,0,0,0,0,0,0,0,0
Ganapathi Vignesh,90742,80006,0,0,50004,50003,50003,50006,0,0,0,0,0,0,0,0,0
Ganesh Gaikwad,90743,80006,0,0,0,50014,0,0,0,0,0,0,0,0,0,0,0
Gaurav Dhiman,90744,80006,50005,50010,0,0,0,0,0,0,0,0,0,0,0,0,0
Gautam Gambhir,90187,80006,50008,50008,50008,50004,50004,50004,50004,50004,50004,50004,50008,0,0,0,0
George Bailey,90196,80002,0,50003,50003,50003,50003,0,50009,50009,50015,0,0,0,0,0,0
George Dockrell,90745,80007,0,0,0,0,0,0,0,0,50004,0,0,0,0,0,0
George Garton,90195,80004,0,0,0,0,0,0,0,0,0,0,0,0,0,50010,0
Gerald Coetzee,90746,80016,0,0,0,0,0,0,0,0,0,0,0,0,0,50001,0
Glenn Maxwell,90197,80002,0,0,0,0,50008,50005,50009,50009,50009,50009,50008,0,50009,50010,50010
Glenn McGrath,90192,80002,50008,50008,0,0,0,0,0,0,0,0,0,0,0,0,0
