Match_ID,Match_City,Match_City_ID,Match_Date,Season,Season_ID,MatchNumber,Team1,Team1_ID,Team2,Team2_ID,Stadium_Name,Stadium_ID,TossWinner,Toss_Winner_ID,TossDecision,SuperOver,WinningTeam,Winner_Team_ID,WonBy,Margin,DL_used,MOM,MOM_ID,Umpire1,Ump1_ID,Umpire2,Ump2_ID
980995,Kolkata,10022,5/16/2016,2016,30009,48,Kolkata Knight Riders,50004,Royal Challengers Bangalore,50010,Eden Gardens,20008,Royal Challengers Bangalore,50010,field,N,Royal Challengers Bangalore,50010,Wickets,9,No,V Kohli,90617,CB Gaffaney,60001,A Nand Kishore,60030
980991,Chandigarh,10007,5/15/2016,2016,30009,46,Punjab Kings,50009,Sunrisers Hyderabad,50006,Punjab Cricket Association IS Bindra Stadium,20023,Punjab Kings,50009,bat,N,Sunrisers Hyderabad,50006,Wickets,7,No,HM Amla,90212,KN Ananthapadmanabhan,60006,M Erasmus,60015
980993,Visakhapatnam,10031,5/15/2016,2016,30009,47,Mumbai Indians,50005,Delhi Capitals,50008,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,20006,Delhi Capitals,50008,field,N,Mumbai Indians,50005,Runs,80,No,KH Pandya,90282,Nitin Menon,60005,CK Nandan,60031
980987,Bengaluru,10003,5/14/2016,2016,30009,44,Royal Challengers Bangalore,50010,Gujarat Lions,50012,M Chinnaswamy Stadium,20015,Gujarat Lions,50012,field,N,Royal Challengers Bangalore,50010,Runs,144,No,AB de Villiers,90028,AY Dandekar,60020,VK Sharma,60026
980989,Kolkata,10022,5/14/2016,2016,30009,45,Kolkata Knight Riders,50004,Rising Pune Supergiants,50015,Eden Gardens,20008,Rising Pune Supergiants,50015,bat,N,Kolkata Knight Riders,50004,Wickets,8,Yes,YK Pathan,90647,A Nand Kishore,60030,BNJ Oxenford,60003
980985,Visakhapatnam,10031,5/13/2016,2016,30009,43,Mumbai Indians,50005,Punjab Kings,50009,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,20006,Mumbai Indians,50005,bat,N,Punjab Kings,50009,Wickets,7,No,MP Stoinis,90375,HDPK Dharmasena,60032,CK Nandan,60031
980983,Hyderabad,10015,5/12/2016,2016,30009,42,Sunrisers Hyderabad,50006,Delhi Capitals,50008,Rajiv Gandhi International Stadium,20024,Delhi Capitals,50008,field,N,Delhi Capitals,50008,Wickets,7,No,CH Morris,90119,K Bharatan,60034,M Erasmus,60015
980981,Bengaluru,10003,5/11/2016,2016,30009,41,Royal Challengers Bangalore,50010,Mumbai Indians,50005,M Chinnaswamy Stadium,20015,Mumbai Indians,50005,field,N,Mumbai Indians,50005,Wickets,6,No,KH Pandya,90282,AY Dandekar,60020,C Shamshuddin,60022
980979,Visakhapatnam,10031,5/10/2016,2016,30009,40,Rising Pune Supergiants,50015,Sunrisers Hyderabad,50006,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,20006,Sunrisers Hyderabad,50006,bat,N,Sunrisers Hyderabad,50006,Runs,4,No,A Zampa,90020,CB Gaffaney,60001,VK Sharma,60026
980977,Chandigarh,10007,5/9/2016,2016,30009,39,Punjab Kings,50009,Royal Challengers Bangalore,50010,Punjab Cricket Association IS Bindra Stadium,20023,Punjab Kings,50009,field,N,Royal Challengers Bangalore,50010,Runs,1,No,SR Watson,90569,AK Chaudhary,60004,HDPK Dharmasena,60032
