CID,Cname
10000,NA
10001,Abu Dhabi
10002,Ahmedabad
10003,Bengaluru
10004,Bloemfontein
10005,Cape Town
10006,Centurion
10007,Chandigarh
10008,Chennai
10009,Cuttack
10010,Delhi
10011,Dharmshala
10012,Dubai
10013,Durban
10014,East London
10015,Hyderabad
10016,Indore
10017,Jaipur
10018,Johannesburg
10019,Kanpur
10020,Kimberley
10021,Kochi
10022,Kolkata
10023,Mumbai
10024,Nagpur
10025,Port Elizabeth
10026,Pune
10027,Raipur
10028,Rajkot
10029,Ranchi
10030,Sharjah
10031,Visakhapatnam
